"PSM Act, EdSpark Test (Transport Services)","Transport Services"
Domain,Element,"Question Text",Answer,"Answer Text"
triage,,,"Does your school teach students from Pre-primary to Year 6?",Yes,
triage,,,"Does your school teach students from Years 7-10 and/or Years 11-12?",Yes,
triage,,,"Does your school have managed computer labs, classroom pods, and/or laptop trolleys?",Yes,
triage,,,"Does your school have a 1:1 device program, which may include the use of school managed or personal devices?",Yes,
triage,,,"Does your school teach students from Pre-primary to Year 6?",Yes,
triage,,,"Does your school teach students from Years 7-10 and/or Years 11-12?",Yes,
triage,,,"Does your school have managed computer labs, classroom pods, and/or laptop trolleys?",Yes,
triage,,,"Does your school have a 1:1 device program, which may include the use of school managed or personal devices?",Yes,
managing,Practices,Emerging,"The school understands its obligations to be compliant with the Department's security policies and procedures.",Yes,
managing,Practices,Developing,"The school plans and delivers training on security procedures for all staff, based on the Department's policies. ",No,
managing,Practices,Emerging,"The school understands the Department's student online policies and procedures, and applies strategies to restrict access to all of the private data the school collects and stores.",Yes,
managing,Practices,Developing,"The school has clearly expressed, up-to-date privacy guidelines about how it manages privacy information, which are in accordance with the Department's policies and procedures.",Yes,
managing,Practices,Achieving,"The school applies procedures for identifying and managing privacy risks at each of the information lifecycle stages stated in the Department's Cyber Security Policy.",Yes,
managing,Practices,Excelling,"The school models exemplary, robust data privacy practices and procedures, and shares them with other schools and the Department.",Yes,
managing,Practices,Emerging,"School leaders are aware of the Department's mandated policies regarding student behaviour when using technology.",Yes,
managing,Practices,Developing,"Most staff are aware of the content of the Department's policies and procedures regarding student behaviour when using technology, and can implement key rules or procedures.",Yes,
managing,Practices,Achieving,"A whole-school approach is taken to the implementation of the Department's policies and procedures regarding student behaviour when using technology, which is supported by school-developed guidelines. ",Yes,
managing,Practices,Excelling,"The whole-school community collaboratively reviews the effectiveness of the implementation of the Department's set of policies on student behaviour when using technology, and makes evidence-based modifications, where appropriate. ",Yes,
managing,Resources,Emerging,"The school is aware of the digital capabilities of its allied professional staff.",Yes,
managing,Resources,Developing,"The school allocates funds for individual allied professional staff to participate in programs that meet their current digital capability needs.",Yes,
managing,Resources,Achieving,"The school has processes in place to anticipate the learning needs of its allied professional staff and plan for the improvement of their digital capabilities, in line with the school's digital strategy.",Yes,
managing,Resources,Excelling,"The school's professional learning plan includes provision for allied professional staff to extend their digital capabilities to support the achievement of the school's digital strategy, and to share their expertise with the whole-school community. ",Yes,
managing,Resources,Emerging,"The school is aware of available ICT support for its school-owned technology and its infrastructure.",Yes,
managing,Resources,Developing,"The school has regular access to ICT support for its school-owned technology and infrastructure.",Yes,
managing,Resources,Achieving,"The school has prompt, timely access to ICT support for its own technology and infrastructure, and takes a proactive approach to managing its future needs.",Yes,
managing,Resources,Excelling,"The school systematically monitors and anticipates areas of support for its own technology and infrastructure, and is considered a model of best practice.",Yes,
managing,Resources,Emerging,"The school is aware of its responsibility to maintain the core infrastructure and network hardware on a break-fix basis. ",Yes,
managing,Resources,Developing,"The school is proactive in maintaining its core infrastructure and network hardware. ",Yes,
managing,Resources,Achieving,"The school has a procurement plan to replace future obsolete hardware. ",Yes,
managing,Resources,Excelling,"The school is a leader in its procurement strategies and maintenance processes, and actively contributes to the standard operating environment. ",Yes,
